# Seuils de vigilance canicule par département (dispositif officiel Météo-France / Santé publique France).
# Critère officiel : une canicule est caractérisée quand les IBM (Indicateurs BioMétéorologiques),
# moyennes glissantes sur 3 jours consécutifs des températures MINIMALES (IBMn) et MAXIMALES (IBMx),
# atteignent/dépassent SIMULTANÉMENT les seuils départementaux smin (nuit) et smax (jour).
#
# Colonnes : departement (code INSEE 2 car.), nom_departement, smin (°C, IBM min/nuit), smax (°C, IBM max/jour)
# Laisser smin/smax VIDES pour les départements dont le seuil officiel reste à saisir
# (depuis l'annexe de l'arrêté Météo-France) : ces villes seront EXCLUES du calcul des canicules
# tant que leurs seuils ne sont pas renseignés (jamais de donnée approximative).
#
departement,nom_departement,smin,smax
06,Alpes-Maritimes,24,31
11,Aude,21,35
13,Bouches-du-Rhône,24,35
17,Charente-Maritime,20,34
21,Côte-d'Or,19,34
25,Doubs,18,33
29,Finistère,18,31
31,Haute-Garonne,21,36
33,Gironde,21,35
34,Hérault,22,35
35,Ille-et-Vilaine,20,34
37,Indre-et-Loire,19,35
42,Loire,19,34
44,Loire-Atlantique,20,34
49,Maine-et-Loire,20,34
51,Marne,18,33
57,Moselle,19,34
59,Nord,18,33
63,Puy-de-Dôme,19,34
66,Pyrénées-Orientales,22,35
67,Bas-Rhin,20,34
69,Rhône,20,34
75,Paris,21,31
76,Seine-Maritime,18,32
80,Somme,18,32
83,Var,23,35
84,Vaucluse,21,36
86,Vienne,19,35
87,Haute-Vienne,19,34
2A,Corse-du-Sud,23,33
